customer_id,order_id,order_date,delivery_date,country,customer_age,gender,product_category,order_value,support_channel,support_response_time_hrs,issue_resolved,satisfaction_score_text,nps_score,customer_comments,repeat_customer
CUST-100094,1000094,12/12/2022,1/1/2023,United States,47,M,electronics,379.4,Email,,N,neutral,,Average service,Yes
CUST-100095,1000095,8/17/2023,8/30/2023,Germany,,F,Electronics,144.17,In-App,69.6,No,100% satisfied,,Excellent support,Yes
CUST-100096,1000096,9/25/2022,9/29/2022,Germany,,M,electronics,555.25,In-App,,No,Very satisfied,,Excellent support,Yes
CUST-100097,1000097,3/10/2023,10/19/2023,USA,,M,Fashion,1134.9,Phone,29,Yes,Not satisfied,-89,,Yes
CUST-100098,1000098,10/10/2024,10/11/2024,US,,Female,electronics,1486.02,PHONE,42.8,N,neutral,,Average service,No
CUST-100099,1000099,7/11/2024,7/31/2024,DE,,,Home,1084.89,email,37.8,N,Very satisfied,-63,Excellent support,Yes
CUST-100101,1000101,2/4/2022,2/8/2022,DE,,,electronics,296.47,Phone,21.6,Y,Very unsatisfied,,,
CUST-100104,1000104,4/9/2023,9/14/2023,France,,F,Home,1136.31,Chat,46.5,Yes,Very unsatisfied,66,Late delivery,
CUST-100105,1000105,8/13/2023,8/28/2023,FR,49,M,Electronics,23.81,email,66.9,Y,Very satisfied,,Fast delivery,
CUST-100106,1000106,4/18/2022,5/4/2022,United States,,M,Home,30.99,Chat,40.9,No,Very unsatisfied,,Bad packaging,No
CUST-100107,1000107,4/21/2023,4/27/2023,US,77,Male,Fashion,581.53,In-App,68.7,Y,neutral,49,Okay experience,No
CUST-100108,1000108,8/6/2023,8/24/2023,United States,,Male,Fashion,557.64,Phone,9.7,No,neutral,,,No
CUST-100110,1000110,7/1/2023,7/20/2023,FR,,Female,electronics,690.63,Email,48.5,Y,Very unsatisfied,85,Late delivery,No
CUST-100112,1000112,8/18/2022,4/9/2022,USA,61,M,Electronics,275.93,email,9.3,No,Not satisfied,-100,Slow response,No
CUST-100113,1000113,11/17/2024,11/19/2024,US,,Female,Electronics,58,PHONE,55.2,Yes,Very unsatisfied,-39,,Yes
CUST-100114,1000114,5/4/2022,5/20/2022,France,,F,Home,814.24,Email,71.5,No,Completely satisfied,,,
CUST-100118,1000118,10/12/2024,11/2/2024,France,,Female,Home,600.98,Phone,55.9,N,super satisfied,,Excellent support,No
CUST-100121,1000121,1/6/2024,1/23/2024,France,27,Female,electronics,566.07,email,67.2,N,Very satisfied,,Great service,Yes
CUST-100123,1000123,10/14/2022,11/1/2022,DE,33,M,Electronics,984.07,PHONE,6.8,N,Satisfied,,Excellent support,Yes
CUST-100125,1000125,1/29/2023,2/7/2023,USA,37,,Home,854.38,In-App,39,N,Very satisfied,93,Fast delivery,
CUST-100127,1000127,9/3/2022,3/20/2022,United States,42,F,Fashion,547.44,Email,,Y,Not satisfied,,Late delivery,No
CUST-100128,1000128,10/22/2024,5/11/2024,USA,19,M,Electronics,899.42,Chat,1,N,Completely satisfied,-1,Fast delivery,
CUST-100129,1000129,2/8/2024,2/27/2024,US,,F,Home,104.27,In-App,21.7,Yes,super satisfied,,,Yes
CUST-100130,1000130,7/7/2022,7/22/2022,Germany,,M,electronics,508.76,PHONE,9.9,Y,Very unsatisfied,54,,No
CUST-100078,1000078,9/26/2022,2/10/2022,FR,45,Female,electronics,1328.1,Email,28.6,Y,Completely satisfied,,Excellent support,Yes
CUST-100079,1000079,1/24/2024,2/3/2024,United States,,F,Home,1140.67,In-App,0.5,Yes,neutral,,Okay experience,Yes
CUST-100081,1000081,2/27/2022,3/20/2022,US,,Female,Electronics,789.99,Chat,,Yes,super satisfied,,Fast delivery,Yes
CUST-100132,1000132,12/9/2022,12/19/2022,France,49,M,Home,386.5,Phone,56.8,Yes,Very unsatisfied,,Bad packaging,
CUST-100133,1000133,2/18/2024,3/3/2024,USA,67,M,Home,974.03,Email,46.5,N,Not satisfied,,,No
CUST-100134,1000134,3/15/2024,3/4/2024,Germany,,F,Home,524,Email,21.3,Yes,Completely satisfied,-71,Great service,No
CUST-100136,1000136,5/24/2023,6/13/2023,United States,,Female,Home,964.31,In-App,53.1,No,super satisfied,,,No
CUST-100138,1000138,9/2/2024,9/17/2024,FR,,,Electronics,1011.44,Chat,22.1,No,Not satisfied,-5,,
CUST-100139,1000139,5/23/2024,5/6/2024,DE,,M,Home,288.78,In-App,62.3,Yes,Not satisfied,24,Unhelpful support,Yes
CUST-100143,1000143,12/9/2022,12/17/2022,France,,,Fashion,1429.07,email,48.9,Yes,Very satisfied,,,Yes
CUST-100144,1000144,1/22/2024,6/2/2024,FR,,F,Home,870.36,Chat,27.1,Yes,Satisfied,62,Fast delivery,No
CUST-100147,1000147,7/14/2024,7/17/2024,US,60,Male,electronics,942.15,PHONE,16.9,Yes,Satisfied,80,Fast delivery,Yes
CUST-100149,1000149,12/9/2022,9/13/2022,USA,51,,Home,665.75,PHONE,53.9,N,neutral,,Average service,Yes
CUST-100150,1000150,3/22/2024,3/30/2024,Germany,38,Female,Fashion,970.48,Phone,43.2,Y,Completely satisfied,99,Great service,
CUST-100152,1000152,12/3/2022,10/12/2022,FR,22,,Electronics,30.55,Phone,,Yes,Not satisfied,,,
CUST-100153,1000153,7/22/2023,8/11/2023,USA,37,,Home,1461.73,Phone,28.2,Yes,Not satisfied,,Unhelpful support,
CUST-100154,1000154,5/9/2023,5/12/2023,DE,56,M,Home,187.97,PHONE,0.9,N,super satisfied,,Great service,Yes
CUST-100155,1000155,5/19/2022,5/21/2022,FR,,,Electronics,401.79,email,35.8,Y,neutral,,Okay experience,
CUST-100159,1000159,4/11/2022,11/6/2022,FR,,Male,Home,799.42,Phone,69.2,No,Very satisfied,,Fast delivery,Yes
CUST-100160,1000160,5/22/2022,6/1/2022,France,23,,Home,959.45,In-App,,Yes,Very satisfied,11,Fast delivery,Yes
CUST-100163,1000163,10/1/2022,10/20/2022,USA,,F,Home,151.14,Email,10.2,Yes,super satisfied,-85,Excellent support,Yes
CUST-100165,1000165,5/7/2022,7/15/2022,United States,76,M,Fashion,674.56,Phone,,No,Not satisfied,,Unhelpful support,No
CUST-100166,1000166,5/27/2023,6/1/2023,Germany,30,,Electronics,1484.21,PHONE,39.3,N,Not satisfied,,,No
CUST-100167,1000167,2/9/2023,2/12/2023,USA,,,Fashion,1152.59,Phone,7.3,No,Satisfied,-32,Fast delivery,Yes
CUST-100168,1000168,1/19/2023,1/24/2023,DE,,,Home,849.03,Phone,58.4,N,Not satisfied,,Slow response,Yes
CUST-100169,1000169,2/9/2022,2/21/2022,DE,48,M,Home,1211.6,Chat,66.2,Y,Very unsatisfied,-85,Late delivery,Yes
CUST-100170,1000170,3/1/2024,7/1/2024,DE,,M,Fashion,213.31,Phone,31.5,N,100% satisfied,,Great service,Yes
CUST-100171,1000171,10/14/2023,10/15/2023,United States,64,,electronics,1277.63,email,,Y,neutral,56,Okay experience,
CUST-100173,1000173,3/21/2024,1/4/2024,US,,Male,electronics,1185.21,email,49.5,No,Not satisfied,15,Unhelpful support,Yes
CUST-100175,1000175,12/12/2023,12/15/2023,United States,,M,Fashion,363.95,Email,39.6,N,100% satisfied,-61,,No
CUST-100176,1000176,4/27/2024,5/9/2024,USA,19,Female,Fashion,1465.82,In-App,22.3,N,Very satisfied,,Loved the experience,
CUST-100177,1000177,12/15/2022,12/18/2022,United States,46,M,electronics,702.94,Phone,40.7,No,Satisfied,92,Great service,Yes
CUST-100178,1000178,6/28/2023,7/2/2023,DE,,,Home,719.63,Email,61.5,Yes,neutral,28,,Yes
CUST-100179,1000179,8/21/2023,8/25/2023,Germany,,Female,Home,1252.82,Chat,52.4,Yes,Very unsatisfied,,Bad packaging,
CUST-100180,1000180,6/19/2024,6/28/2024,USA,44,Female,Electronics,1388.14,email,56.6,Y,Not satisfied,,,No
CUST-100181,1000181,4/28/2023,5/11/2023,DE,,Male,electronics,1335.47,Chat,3.6,N,Very unsatisfied,,,Yes
CUST-100182,1000182,10/30/2022,11/2/2022,United States,,M,Fashion,1095.91,email,13.6,No,neutral,,Average service,
CUST-100183,1000183,7/25/2022,7/29/2022,United States,67,Female,Home,1314.02,Phone,18,N,neutral,,Okay experience,
CUST-100184,1000184,3/21/2024,3/23/2024,United States,,,electronics,274.6,In-App,25.2,No,super satisfied,-34,Excellent support,No
CUST-100185,1000185,7/6/2023,9/7/2023,France,32,M,electronics,774.79,PHONE,,No,Very satisfied,65,Loved the experience,
CUST-100187,1000187,2/7/2024,7/18/2024,US,,M,Fashion,987.62,PHONE,10.9,No,neutral,,,
CUST-100188,1000188,4/18/2024,4/19/2024,Germany,,Male,Home,521.32,PHONE,38.5,N,neutral,,,
CUST-100189,1000189,3/23/2023,4/9/2023,France,69,M,Electronics,341.16,Phone,22.2,Y,Satisfied,,Fast delivery,
CUST-100190,1000190,7/22/2023,8/12/2023,United States,50,F,Fashion,625.53,Phone,14.5,N,Satisfied,,Loved the experience,Yes
CUST-100193,1000193,9/4/2023,9/9/2023,US,,F,Home,520.67,In-App,13.6,N,Not satisfied,-96,,Yes
CUST-100196,1000196,12/1/2024,12/6/2024,US,,M,Home,68.71,In-App,49.6,N,Completely satisfied,-16,Great service,Yes
CUST-100197,1000197,3/18/2022,3/27/2022,France,64,M,Home,690.56,Chat,3.7,No,Very satisfied,,Great service,No
CUST-100199,1000199,11/25/2022,12/2/2022,France,74,Male,Home,1047.29,Email,60.8,Yes,Not satisfied,,Unhelpful support,
CUST-100200,1000200,4/19/2023,4/29/2023,Germany,,F,Electronics,104.37,PHONE,50.8,No,Very unsatisfied,,Bad packaging,
CUST-100201,1000201,11/5/2023,11/25/2023,FR,70,Male,Home,763.3,In-App,62.6,Yes,Completely satisfied,,Loved the experience,No
CUST-100202,1000202,9/29/2022,10/5/2022,FR,33,F,electronics,1203.88,In-App,,N,super satisfied,,Excellent support,Yes
CUST-100203,1000203,4/5/2022,4/16/2022,FR,,,Home,985.35,In-App,26.2,Yes,Very unsatisfied,,Late delivery,No
CUST-100204,1000204,8/19/2024,8/22/2024,US,,,Fashion,1056.12,Email,35.5,N,Very unsatisfied,,Slow response,
CUST-100205,1000205,10/17/2024,11/2/2024,USA,,Male,Electronics,1160.5,In-App,42.5,No,super satisfied,27,Fast delivery,
CUST-100206,1000206,4/2/2023,4/22/2023,France,70,Male,electronics,989.71,email,36.3,N,Very satisfied,7,,No
CUST-100207,1000207,12/3/2022,12/17/2022,DE,,,Fashion,1070.69,email,14.5,Y,Not satisfied,,Slow response,
CUST-100209,1000209,3/4/2024,3/17/2024,FR,,Female,Electronics,544.44,In-App,62.5,No,Very satisfied,,Fast delivery,Yes
CUST-100211,1000211,8/7/2022,8/9/2022,Germany,,M,Fashion,203.8,email,0.5,N,Very unsatisfied,81,Bad packaging,Yes
CUST-100212,1000212,7/3/2024,3/17/2024,FR,,,Home,1435.91,email,,No,100% satisfied,,Excellent support,Yes
CUST-100214,1000214,11/11/2022,12/2/2022,DE,,,electronics,735.34,Chat,13.9,Yes,Completely satisfied,-76,Loved the experience,
CUST-100217,1000217,8/3/2023,3/22/2023,Germany,70,F,Home,804.87,Phone,57.4,Y,Completely satisfied,62,Excellent support,No
CUST-100218,1000218,4/12/2023,4/27/2023,DE,,,Electronics,463.99,PHONE,52.3,No,neutral,5,Okay experience,Yes
CUST-100219,1000219,9/10/2023,9/25/2023,France,53,M,Electronics,383.52,Phone,35.1,Y,100% satisfied,-9,Fast delivery,
CUST-100221,1000221,2/6/2023,6/21/2023,Germany,,M,electronics,831.99,Phone,6,Y,super satisfied,-65,Loved the experience,No
CUST-100222,1000222,8/7/2023,8/18/2023,USA,,,electronics,984.32,Phone,16.2,Y,Completely satisfied,,Great service,
CUST-100223,1000223,7/21/2023,8/1/2023,Germany,28,,Home,1106.52,In-App,3,N,Completely satisfied,-41,Loved the experience,No
CUST-100224,1000224,2/8/2022,2/27/2022,Germany,,Male,Electronics,1471.08,Chat,69.7,Y,neutral,,Okay experience,
CUST-100225,1000225,8/9/2024,8/26/2024,Germany,80,,electronics,535.82,Chat,34.8,Yes,100% satisfied,28,Loved the experience,No
CUST-100227,1000227,12/23/2022,1/4/2023,France,50,,Home,93.31,Chat,37.2,N,Not satisfied,53,Late delivery,
CUST-100229,1000229,5/15/2023,3/6/2023,DE,,Female,Electronics,274.36,email,63.2,Yes,Completely satisfied,,Fast delivery,
CUST-100230,1000230,3/20/2023,4/5/2023,France,,Female,electronics,1186.44,In-App,58,Yes,100% satisfied,8,,No
CUST-100232,1000232,1/3/2022,1/15/2022,DE,,Female,electronics,832.64,email,26.7,N,100% satisfied,,Loved the experience,
CUST-100233,1000233,6/21/2022,7/9/2022,Germany,68,Male,Home,767.43,Chat,44.2,Yes,neutral,,,
CUST-100234,1000234,6/4/2023,6/18/2023,USA,34,M,Electronics,917.45,PHONE,70.9,Y,Very satisfied,82,Great service,Yes
CUST-100236,1000236,10/25/2022,11/8/2022,France,63,Male,Fashion,1091.95,email,25.1,Y,neutral,-43,,No
CUST-100238,1000238,3/20/2024,4/6/2024,USA,34,F,Home,1018.6,Phone,29.8,Y,Very unsatisfied,32,Bad packaging,
CUST-100239,1000239,1/10/2022,1/27/2022,DE,77,F,Fashion,536.77,email,68.2,No,Satisfied,27,Fast delivery,Yes
CUST-100240,1000240,11/27/2023,12/16/2023,United States,67,Male,Electronics,1016.96,PHONE,0.6,Yes,super satisfied,,Excellent support,
CUST-100241,1000241,5/24/2023,6/4/2023,Germany,32,Male,electronics,722.7,email,,Y,neutral,0,Average service,No
CUST-100243,1000243,7/17/2023,8/3/2023,FR,,F,Home,861.4,email,58.6,Y,100% satisfied,,Loved the experience,No
CUST-100244,1000244,7/31/2024,1/8/2024,Germany,,F,Fashion,383.95,email,,Yes,super satisfied,76,Fast delivery,Yes
CUST-100246,1000246,11/3/2022,11/9/2022,Germany,,F,Home,1303.7,PHONE,24.4,N,neutral,-82,Average service,Yes
CUST-100247,1000247,9/2/2024,9/13/2024,US,,M,electronics,626.84,Phone,9.1,No,neutral,,Okay experience,
CUST-100248,1000248,11/11/2024,11/26/2024,DE,21,F,Electronics,164.85,email,47.2,N,Completely satisfied,-21,Fast delivery,Yes
CUST-100249,1000249,10/5/2023,10/14/2023,USA,,M,electronics,706.12,email,39.5,No,Satisfied,78,Loved the experience,
CUST-100250,1000250,12/8/2022,12/11/2022,FR,,M,Fashion,624.18,Phone,0.1,No,Very unsatisfied,,,No
CUST-100255,1000255,10/19/2023,11/6/2023,Germany,65,,Home,714.51,PHONE,67.4,No,super satisfied,61,Loved the experience,
CUST-100256,1000256,10/1/2023,10/16/2023,USA,,M,Electronics,259.37,Chat,28.6,No,Completely satisfied,-98,Excellent support,
CUST-100260,1000260,1/31/2023,12/2/2023,DE,,F,Fashion,174.59,email,3.2,No,super satisfied,-55,Excellent support,Yes
CUST-100261,1000261,11/25/2022,12/10/2022,France,,F,Fashion,83.14,Phone,5.2,No,Completely satisfied,,Loved the experience,Yes
CUST-100264,1000264,1/10/2024,1/12/2024,FR,,,Home,849.09,Phone,39.7,Y,Very unsatisfied,,Slow response,No
CUST-100266,1000266,10/8/2023,10/22/2023,United States,,Male,electronics,857.91,Phone,52.1,N,Very satisfied,,Loved the experience,
CUST-100269,1000269,9/8/2023,9/27/2023,US,,,electronics,1163,Phone,34.7,No,Not satisfied,,Bad packaging,
CUST-100270,1000270,9/17/2023,6/10/2023,US,61,Male,electronics,641.08,Chat,24.9,Yes,super satisfied,,,Yes
CUST-100271,1000271,9/28/2022,10/17/2022,France,41,Male,Electronics,1111.98,Phone,66.7,Y,neutral,,,
CUST-100275,1000275,5/8/2023,8/25/2023,FR,,F,Electronics,1416.76,Chat,24.7,N,neutral,68,Average service,Yes
CUST-100276,1000276,2/19/2024,3/6/2024,US,,F,Home,318.07,Phone,49.3,No,Not satisfied,,,
CUST-100277,1000277,12/9/2023,9/29/2023,United States,38,Male,Fashion,1321.4,In-App,21.9,Y,100% satisfied,-62,Loved the experience,Yes
CUST-100278,1000278,4/11/2023,4/16/2023,United States,61,M,Electronics,1035.33,In-App,60.9,N,100% satisfied,,Fast delivery,Yes
CUST-100283,1000283,3/4/2024,3/19/2024,Germany,,Male,Home,1369.26,email,62.1,No,Completely satisfied,-63,Loved the experience,
CUST-100284,1000284,10/5/2022,10/20/2022,France,29,Female,Home,15.26,Chat,,N,Very satisfied,27,Loved the experience,
CUST-100286,1000286,9/23/2023,10/8/2023,USA,21,F,Home,250.39,Chat,49.8,No,neutral,,Okay experience,Yes
CUST-100287,1000287,3/21/2023,4/5/2023,FR,53,M,electronics,210.47,PHONE,23.8,N,Completely satisfied,34,Excellent support,
CUST-100288,1000288,10/25/2022,11/14/2022,Germany,,F,Fashion,396.89,email,25.5,No,super satisfied,,,
CUST-100289,1000289,10/24/2023,10/27/2023,USA,,Male,Home,1201.35,In-App,24.1,No,Very unsatisfied,-98,Unhelpful support,
CUST-100290,1000290,4/30/2022,5/21/2022,USA,,M,electronics,1089.35,email,59.9,No,Satisfied,,Excellent support,
CUST-100291,1000291,4/1/2023,1/11/2023,Germany,,Male,Fashion,851.76,PHONE,38.6,No,Very unsatisfied,,Unhelpful support,No
CUST-100292,1000292,5/19/2022,6/6/2022,DE,,Female,Electronics,1298.24,Chat,22.7,Yes,Completely satisfied,,Fast delivery,Yes
CUST-100296,1000296,9/28/2023,2/10/2023,US,,,Home,265.2,Chat,24.5,N,Satisfied,-88,Great service,Yes
CUST-100298,1000298,2/1/2022,2/13/2022,United States,78,Female,Fashion,1370.16,In-App,66.1,Y,100% satisfied,,Great service,No
CUST-100299,1000299,8/5/2022,8/19/2022,US,,,Home,766.85,In-App,57.4,Y,Very satisfied,42,Great service,No
CUST-100300,1000300,8/17/2024,9/7/2024,Germany,,Female,electronics,1178.63,In-App,24.7,No,Very unsatisfied,-56,Unhelpful support,
CUST-100209,1000209,3/4/2024,3/17/2024,FR,,Female,Electronics,544.44,In-App,62.5,No,Very satisfied,,Fast delivery,Yes
CUST-100211,1000211,8/7/2022,8/9/2022,Germany,,M,Fashion,203.8,email,0.5,N,Very unsatisfied,81,Bad packaging,Yes
CUST-100212,1000212,7/3/2024,3/17/2024,FR,,,Home,1435.91,email,,No,100% satisfied,,Excellent support,Yes
CUST-100214,1000214,11/11/2022,12/2/2022,DE,,,electronics,735.34,Chat,13.9,Yes,Completely satisfied,-76,Loved the experience,
CUST-100217,1000217,8/3/2023,3/22/2023,Germany,70,F,Home,804.87,Phone,57.4,Y,Completely satisfied,62,Excellent support,No
CUST-100218,1000218,4/12/2023,4/27/2023,DE,,,Electronics,463.99,PHONE,52.3,No,neutral,5,Okay experience,Yes
CUST-100219,1000219,9/10/2023,9/25/2023,France,53,M,Electronics,383.52,Phone,35.1,Y,100% satisfied,-9,Fast delivery,
CUST-100221,1000221,2/6/2023,6/21/2023,Germany,,M,electronics,831.99,Phone,6,Y,super satisfied,-65,Loved the experience,No
CUST-100222,1000222,8/7/2023,8/18/2023,USA,,,electronics,984.32,Phone,16.2,Y,Completely satisfied,,Great service,
CUST-100223,1000223,7/21/2023,8/1/2023,Germany,28,,Home,1106.52,In-App,3,N,Completely satisfied,-41,Loved the experience,No
CUST-100224,1000224,2/8/2022,2/27/2022,Germany,,Male,Electronics,1471.08,Chat,69.7,Y,neutral,,Okay experience,
CUST-100225,1000225,8/9/2024,8/26/2024,Germany,80,,electronics,535.82,Chat,34.8,Yes,100% satisfied,28,Loved the experience,No
CUST-100227,1000227,12/23/2022,1/4/2023,France,50,,Home,93.31,Chat,37.2,N,Not satisfied,53,Late delivery,
CUST-100303,1000303,9/23/2024,10/8/2024,US,75,Male,Fashion,173.45,Chat,17,N,Very satisfied,,,
